Tick,Hero,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,
21175,CDOTA_Unit_Hero_Spectre,2834630,13910210,16777215,8945860,16629964,12271816,16777215,16777215,16777215
21175,CDOTA_Unit_Hero_Abaddon,11043078,16777215,15450386,12075281,9683210,409863,16777215,16777215,16777215
21175,CDOTA_Unit_Hero_Shredder,16777215,2949350,13074660,8519939,8192260,16777215,16777215,16777215,16777215
21177,CDOTA_Unit_Hero_Void_Spirit,9814224,11419843,7340231,6848714,9879823,11452617,16777215,16777215,16777215
21177,CDOTA_Unit_Hero_Lion,7880943,344310,229605,2524139,4997368,16580858,10469643,16777215,16777215
21177,CDOTA_Unit_Hero_StormSpirit,344270,11403480,6013140,4292815,3145952,1212630,5817194,14009195,16777215
21177,CDOTA_Unit_Hero_Weaver,12779761,2736354,11190514,3604711,6357236,278771,16777215,16777215,16777215
21179,CDOTA_Unit_Hero_Void_Spirit,9814224,11419843,7340231,6848714,9879823,11452617,3965372,10682813,16777215
21179,CDOTA_Unit_Hero_Furion,12763346,7110871,3457243,3965148,12894429,4243681,16777215,16777215,16777215
21179,CDOTA_Unit_Hero_Tusk,15040730,12173567,13713662,11829499,2244857,6422773,16777215,16777215,16777215
21179,CDOTA_Unit_Hero_Luna,13697227,7438559,16449768,3948777,11944172,12583173,16777215,16777215,16777215
21368,CDOTA_Unit_Hero_Lion,10469643,344310,229605,2524139,4997368,16580858,7880943,16777215,16777215
21438,CDOTA_Unit_Hero_Weaver,12779761,2736354,11190514,16777215,6357236,278771,16777215,16777215,16777215
21594,CDOTA_Unit_Hero_Weaver,12779761,2736354,11190514,5374494,6357236,278771,16777215,16777215,16777215
21642,CDOTA_Unit_Hero_Weaver,12779761,2736354,5374494,11190514,6357236,278771,16777215,16777215,16777215
22622,CDOTA_Unit_Hero_StormSpirit,344270,11403480,6013140,3145952,4292815,1212630,5817194,14009195,16777215
22654,CDOTA_Unit_Hero_Lion,10469643,344310,229605,2491047,4997368,16580858,7880943,16777215,16777215
22750,CDOTA_Unit_Hero_StormSpirit,344270,11403480,6013140,3145952,4292815,1212630,5817194,14009195,10469919
22906,CDOTA_Unit_Hero_Tusk,15040730,16777215,13713662,11829499,2244857,6422773,16777215,16777215,16777215
23244,CDOTA_Unit_Hero_Void_Spirit,9814224,11419843,7340231,6848714,16777215,11452617,3965372,10682813,16777215
23292,CDOTA_Unit_Hero_Void_Spirit,9814224,11419843,7340231,6848714,10682813,11452617,3965372,16777215,16777215
23918,CDOTA_Unit_Hero_Void_Spirit,9814224,11419843,7340231,6848714,10682813,11452617,3965372,16777215,16777215
23922,CDOTA_Unit_Hero_Void_Spirit,9814224,11419843,7340231,6848714,10682813,11452617,3965372,16777215,16777215
24516,CDOTA_Unit_Hero_StormSpirit,344270,11403480,6013140,16777215,4292815,1212630,5817194,14009195,10469919
24554,CDOTA_Unit_Hero_StormSpirit,344270,11403480,6013140,5817194,4292815,1212630,16777215,14009195,10469919
24602,CDOTA_Unit_Hero_Weaver,12779761,2736354,5374494,11190514,6357236,278771,16777215,16777215,16777215
24774,CDOTA_Unit_Hero_Lion,10469643,344310,229605,16777215,4997368,16580858,7880943,16777215,16777215
24804,CDOTA_Unit_Hero_Lion,10469643,344310,229605,7880943,4997368,16580858,16777215,16777215,16777215
24810,CDOTA_Unit_Hero_Lion,7880943,344310,229605,10469643,4997368,16580858,16777215,16777215,16777215
