Tick,Hero,X,Y
3320,CDOTA_Unit_Hero_Earthshaker,311,136
3320,CDOTA_Unit_Hero_Dazzle,119,270
3320,CDOTA_Unit_Hero_Bloodseeker,260,236
3320,CDOTA_Unit_Hero_Morphling,431,100
3325,CDOTA_Unit_Hero_Necrolyte,232,110
3325,CDOTA_Unit_Hero_Earthshaker,375,74
3325,CDOTA_Unit_Hero_Dazzle,119,270
3325,CDOTA_Unit_Hero_Kunkka,266,247
3325,CDOTA_Unit_Hero_Slark,151,208
3325,CDOTA_Unit_Hero_Abaddon,172,177
3325,CDOTA_Unit_Hero_Bloodseeker,260,236
3325,CDOTA_Unit_Hero_Morphling,431,100
3325,CDOTA_Unit_Hero_Rubick,394,273
3325,CDOTA_Unit_Hero_Ursa,279,219
3330,CDOTA_Unit_Hero_Necrolyte,232,110
3330,CDOTA_Unit_Hero_Earthshaker,439,17
3330,CDOTA_Unit_Hero_Dazzle,119,270
3330,CDOTA_Unit_Hero_Kunkka,266,247
3330,CDOTA_Unit_Hero_Slark,151,208
3330,CDOTA_Unit_Hero_Abaddon,172,177
3330,CDOTA_Unit_Hero_Bloodseeker,260,236
3330,CDOTA_Unit_Hero_Morphling,431,100
3330,CDOTA_Unit_Hero_Rubick,394,273
3330,CDOTA_Unit_Hero_Ursa,279,219
3335,CDOTA_Unit_Hero_Necrolyte,232,110
3335,CDOTA_Unit_Hero_Earthshaker,505,0
3335,CDOTA_Unit_Hero_Dazzle,119,270
3335,CDOTA_Unit_Hero_Kunkka,266,247
3335,CDOTA_Unit_Hero_Slark,151,208
3335,CDOTA_Unit_Hero_Abaddon,172,177
3335,CDOTA_Unit_Hero_Bloodseeker,260,236
3335,CDOTA_Unit_Hero_Morphling,452,94
3335,CDOTA_Unit_Hero_Rubick,360,274
3335,CDOTA_Unit_Hero_Ursa,279,219
3340,CDOTA_Unit_Hero_Necrolyte,232,110
3340,CDOTA_Unit_Hero_Earthshaker,332,53
3340,CDOTA_Unit_Hero_Dazzle,119,270
3340,CDOTA_Unit_Hero_Kunkka,266,247
3340,CDOTA_Unit_Hero_Slark,151,208
3340,CDOTA_Unit_Hero_Abaddon,172,177
3340,CDOTA_Unit_Hero_Bloodseeker,260,236
3340,CDOTA_Unit_Hero_Morphling,452,94
3340,CDOTA_Unit_Hero_Rubick,439,258
3340,CDOTA_Unit_Hero_Ursa,279,219
3345,CDOTA_Unit_Hero_Necrolyte,232,110
3345,CDOTA_Unit_Hero_Earthshaker,304,120
3345,CDOTA_Unit_Hero_Dazzle,119,270
3345,CDOTA_Unit_Hero_Kunkka,250,232
3345,CDOTA_Unit_Hero_Slark,151,208
3345,CDOTA_Unit_Hero_Abaddon,172,177
3345,CDOTA_Unit_Hero_Bloodseeker,357,236
3345,CDOTA_Unit_Hero_Morphling,452,94
3345,CDOTA_Unit_Hero_Rubick,439,258
3345,CDOTA_Unit_Hero_Ursa,279,219
3350,CDOTA_Unit_Hero_Necrolyte,232,110
3350,CDOTA_Unit_Hero_Earthshaker,344,91
3350,CDOTA_Unit_Hero_Dazzle,119,270
3350,CDOTA_Unit_Hero_Kunkka,249,232
3350,CDOTA_Unit_Hero_Slark,151,208
3350,CDOTA_Unit_Hero_Abaddon,172,177
3350,CDOTA_Unit_Hero_Bloodseeker,332,188
3350,CDOTA_Unit_Hero_Morphling,451,94
