Tick,Hero,Action
4631,CDOTA_Unit_Hero_Juggernaut,M
4633,CDOTA_Unit_Hero_Juggernaut,M
4649,CDOTA_Unit_Hero_Juggernaut,M
4649,CDOTA_Unit_Hero_Juggernaut,M
4653,CDOTA_Unit_Hero_Techies,M
4657,CDOTA_Unit_Hero_Techies,M
4661,CDOTA_Unit_Hero_Techies,M
4663,CDOTA_Unit_Hero_Ursa,M
4663,CDOTA_Unit_Hero_Techies,M
4667,CDOTA_Unit_Hero_Juggernaut,A
4669,CDOTA_Unit_Hero_Juggernaut,A
4669,CDOTA_Unit_Hero_Techies,M
4669,CDOTA_Unit_Hero_Abaddon,M
4673,CDOTA_Unit_Hero_Juggernaut,A
4673,CDOTA_Unit_Hero_Juggernaut,A
4673,CDOTA_Unit_Hero_Techies,M
4677,CDOTA_Unit_Hero_Abaddon,M
4679,CDOTA_Unit_Hero_Leshrac,M
4679,CDOTA_Unit_Hero_Juggernaut,A
4679,CDOTA_Unit_Hero_Abaddon,M
4681,CDOTA_Unit_Hero_Juggernaut,A
4683,CDOTA_Unit_Hero_Techies,M
4685,CDOTA_Unit_Hero_Juggernaut,A
4687,CDOTA_Unit_Hero_Juggernaut,A
4687,CDOTA_Unit_Hero_Techies,M
4691,CDOTA_Unit_Hero_Ursa,M
4691,CDOTA_Unit_Hero_Nevermore,M
4691,CDOTA_Unit_Hero_Nevermore,M
4695,CDOTA_Unit_Hero_Techies,M
4695,CDOTA_Unit_Hero_Juggernaut,M
4695,CDOTA_Unit_Hero_Juggernaut,M
4697,CDOTA_Unit_Hero_Nevermore,M
4697,CDOTA_Unit_Hero_Abaddon,M
4697,CDOTA_Unit_Hero_Nevermore,M
4699,CDOTA_Unit_Hero_Techies,M
4703,CDOTA_Unit_Hero_Techies,M
4703,CDOTA_Unit_Hero_Abaddon,M
4705,CDOTA_Unit_Hero_Juggernaut,M
4707,CDOTA_Unit_Hero_Juggernaut,M
4713,CDOTA_Unit_Hero_Juggernaut,M
4713,CDOTA_Unit_Hero_Juggernaut,M
4713,CDOTA_Unit_Hero_Mirana,M
4715,CDOTA_Unit_Hero_Techies,M
4715,CDOTA_Unit_Hero_Ursa,M
4717,CDOTA_Unit_Hero_Abaddon,M
4717,CDOTA_Unit_Hero_Mirana,M
4719,CDOTA_Unit_Hero_Techies,M
4721,CDOTA_Unit_Hero_Winter_Wyvern,M
4723,CDOTA_Unit_Hero_Ursa,M
4723,CDOTA_Unit_Hero_Techies,M
4725,CDOTA_Unit_Hero_Juggernaut,A
4727,CDOTA_Unit_Hero_Juggernaut,A
4735,CDOTA_Unit_Hero_Abaddon,M
4739,CDOTA_Unit_Hero_Juggernaut,M
4741,CDOTA_Unit_Hero_Juggernaut,M
4743,CDOTA_Unit_Hero_Techies,M
4745,CDOTA_Unit_Hero_Juggernaut,M
4745,CDOTA_Unit_Hero_Juggernaut,M
4747,CDOTA_Unit_Hero_Winter_Wyvern,M
4749,CDOTA_Unit_Hero_Techies,M
4757,CDOTA_Unit_Hero_Techies,M
4757,CDOTA_Unit_Hero_Abaddon,M
4757,CDOTA_Unit_Hero_Juggernaut,M
4759,CDOTA_Unit_Hero_Juggernaut,M
4761,CDOTA_Unit_Hero_Techies,M
4763,CDOTA_Unit_Hero_Winter_Wyvern,M
4765,CDOTA_Unit_Hero_Techies,M
4771,CDOTA_Unit_Hero_Techies,M
4775,CDOTA_Unit_Hero_Techies,M
4777,CDOTA_Unit_Hero_Abaddon,M
4779,CDOTA_Unit_Hero_Nevermore,M
4779,CDOTA_Unit_Hero_Techies,M
4781,CDOTA_Unit_Hero_Nevermore,M
