Tick,Hero,Action
4179,CDOTA_Unit_Hero_Pudge,M
4181,CDOTA_Unit_Hero_Pudge,M
4183,CDOTA_Unit_Hero_Silencer,M
4185,CDOTA_Unit_Hero_Silencer,M
4187,CDOTA_Unit_Hero_VengefulSpirit,M
4189,CDOTA_Unit_Hero_Silencer,M
4189,CDOTA_Unit_Hero_Silencer,M
4191,CDOTA_Unit_Hero_Undying,M
4191,CDOTA_Unit_Hero_Undying,M
4193,CDOTA_Unit_Hero_VengefulSpirit,M
4197,CDOTA_Unit_Hero_VengefulSpirit,M
4197,CDOTA_Unit_Hero_Nevermore,M
4199,CDOTA_Unit_Hero_Silencer,A
4201,CDOTA_Unit_Hero_Nevermore,M
4203,CDOTA_Unit_Hero_Undying,M
4205,CDOTA_Unit_Hero_Undying,M
4209,CDOTA_Unit_Hero_Pudge,M
4209,CDOTA_Unit_Hero_Pudge,M
4213,CDOTA_Unit_Hero_Pudge,M
4213,CDOTA_Unit_Hero_Nevermore,M
4215,CDOTA_Unit_Hero_Pudge,M
4215,CDOTA_Unit_Hero_Silencer,A
4215,CDOTA_Unit_Hero_Undying,M
4217,CDOTA_Unit_Hero_Undying,M
4217,CDOTA_Unit_Hero_Nevermore,M
4221,CDOTA_Unit_Hero_Undying,M
4221,CDOTA_Unit_Hero_Undying,M
4223,CDOTA_Unit_Hero_Nevermore,M
4225,CDOTA_Unit_Hero_Silencer,M
4225,CDOTA_Unit_Hero_Silencer,M
4227,CDOTA_Unit_Hero_Nevermore,M
4231,CDOTA_Unit_Hero_Undying,M
4231,CDOTA_Unit_Hero_Undying,M
4231,CDOTA_Unit_Hero_Nevermore,M
4231,CDOTA_Unit_Hero_Pudge,M
4231,CDOTA_Unit_Hero_Pudge,M
4235,CDOTA_Unit_Hero_Silencer,M
4235,CDOTA_Unit_Hero_Undying,M
4235,CDOTA_Unit_Hero_VengefulSpirit,M
4235,CDOTA_Unit_Hero_Silencer,M
4235,CDOTA_Unit_Hero_Nevermore,M
4237,CDOTA_Unit_Hero_Pudge,M
4237,CDOTA_Unit_Hero_Pudge,M
4237,CDOTA_Unit_Hero_Undying,M
4239,CDOTA_Unit_Hero_Silencer,M
4239,CDOTA_Unit_Hero_FacelessVoid,M
4239,CDOTA_Unit_Hero_Pudge,M
4239,CDOTA_Unit_Hero_Silencer,M
4239,CDOTA_Unit_Hero_Nevermore,M
4241,CDOTA_Unit_Hero_Pudge,M
4243,CDOTA_Unit_Hero_FacelessVoid,M
4243,CDOTA_Unit_Hero_Silencer,M
4245,CDOTA_Unit_Hero_Silencer,M
4245,CDOTA_Unit_Hero_Nevermore,M
4249,CDOTA_Unit_Hero_FacelessVoid,M
4249,CDOTA_Unit_Hero_Nevermore,M
4251,CDOTA_Unit_Hero_FacelessVoid,M
4253,CDOTA_Unit_Hero_Nevermore,M
4255,CDOTA_Unit_Hero_Silencer,M
4257,CDOTA_Unit_Hero_Undying,M
4257,CDOTA_Unit_Hero_FacelessVoid,M
4257,CDOTA_Unit_Hero_Nevermore,M
4259,CDOTA_Unit_Hero_Silencer,M
4259,CDOTA_Unit_Hero_Undying,M
4259,CDOTA_Unit_Hero_Silencer,M
