Tick,Hero,X,Y
5035,CDOTA_Unit_Hero_Ursa,278,51
5035,CDOTA_Unit_Hero_VengefulSpirit,324,189
5035,CDOTA_Unit_Hero_Kunkka,201,151
5040,CDOTA_Unit_Hero_KeeperOfTheLight,118,164
5040,CDOTA_Unit_Hero_Ursa,278,51
5040,CDOTA_Unit_Hero_Lion,351,328
5040,CDOTA_Unit_Hero_Puck,114,326
5040,CDOTA_Unit_Hero_Pudge,189,276
5040,CDOTA_Unit_Hero_Abaddon,121,246
5040,CDOTA_Unit_Hero_Shredder,142,100
5040,CDOTA_Unit_Hero_VengefulSpirit,324,189
5040,CDOTA_Unit_Hero_Kunkka,201,151
5040,CDOTA_Unit_Hero_MonkeyKing,87,224
5045,CDOTA_Unit_Hero_KeeperOfTheLight,110,168
5045,CDOTA_Unit_Hero_Ursa,278,51
5045,CDOTA_Unit_Hero_Lion,351,328
5045,CDOTA_Unit_Hero_Puck,114,326
5045,CDOTA_Unit_Hero_Pudge,189,276
5045,CDOTA_Unit_Hero_Abaddon,121,246
5045,CDOTA_Unit_Hero_Shredder,142,100
5045,CDOTA_Unit_Hero_VengefulSpirit,324,189
5045,CDOTA_Unit_Hero_Kunkka,201,151
5045,CDOTA_Unit_Hero_MonkeyKing,24,215
5050,CDOTA_Unit_Hero_KeeperOfTheLight,89,228
5050,CDOTA_Unit_Hero_Ursa,278,51
5050,CDOTA_Unit_Hero_Lion,320,274
5050,CDOTA_Unit_Hero_Puck,114,326
5050,CDOTA_Unit_Hero_Pudge,189,276
5050,CDOTA_Unit_Hero_Abaddon,163,180
5050,CDOTA_Unit_Hero_Shredder,142,100
5050,CDOTA_Unit_Hero_VengefulSpirit,324,189
5050,CDOTA_Unit_Hero_Kunkka,201,151
5050,CDOTA_Unit_Hero_MonkeyKing,25,215
5055,CDOTA_Unit_Hero_KeeperOfTheLight,81,273
5055,CDOTA_Unit_Hero_Ursa,278,51
5055,CDOTA_Unit_Hero_Lion,320,267
5055,CDOTA_Unit_Hero_Puck,114,326
5055,CDOTA_Unit_Hero_Pudge,189,276
5055,CDOTA_Unit_Hero_Abaddon,213,187
5055,CDOTA_Unit_Hero_Shredder,142,100
5055,CDOTA_Unit_Hero_VengefulSpirit,324,189
5055,CDOTA_Unit_Hero_Kunkka,201,151
5055,CDOTA_Unit_Hero_MonkeyKing,88,219
5060,CDOTA_Unit_Hero_KeeperOfTheLight,80,277
5060,CDOTA_Unit_Hero_Ursa,278,51
5060,CDOTA_Unit_Hero_Lion,330,257
5060,CDOTA_Unit_Hero_Puck,114,326
5060,CDOTA_Unit_Hero_Pudge,189,276
5060,CDOTA_Unit_Hero_Abaddon,233,185
5060,CDOTA_Unit_Hero_Shredder,142,100
5060,CDOTA_Unit_Hero_VengefulSpirit,324,189
5060,CDOTA_Unit_Hero_Kunkka,201,151
5060,CDOTA_Unit_Hero_MonkeyKing,88,219
5065,CDOTA_Unit_Hero_KeeperOfTheLight,66,300
5065,CDOTA_Unit_Hero_Ursa,278,51
5065,CDOTA_Unit_Hero_Lion,317,251
5065,CDOTA_Unit_Hero_Puck,114,326
5065,CDOTA_Unit_Hero_Pudge,189,276
5065,CDOTA_Unit_Hero_Abaddon,233,185
5065,CDOTA_Unit_Hero_Shredder,142,100
5065,CDOTA_Unit_Hero_VengefulSpirit,324,189
5065,CDOTA_Unit_Hero_Kunkka,182,189
5065,CDOTA_Unit_Hero_MonkeyKing,90,219
5070,CDOTA_Unit_Hero_KeeperOfTheLight,60,320
5070,CDOTA_Unit_Hero_Ursa,278,51
5070,CDOTA_Unit_Hero_Lion,277,230
5070,CDOTA_Unit_Hero_Puck,114,326
5070,CDOTA_Unit_Hero_Pudge,189,276
5070,CDOTA_Unit_Hero_Abaddon,364,169
5070,CDOTA_Unit_Hero_Shredder,142,100
5070,CDOTA_Unit_Hero_VengefulSpirit,324,189
5070,CDOTA_Unit_Hero_Kunkka,182,189
5070,CDOTA_Unit_Hero_MonkeyKing,90,219
5075,CDOTA_Unit_Hero_KeeperOfTheLight,54,336
5075,CDOTA_Unit_Hero_Ursa,278,51
5075,CDOTA_Unit_Hero_Lion,229,171
5075,CDOTA_Unit_Hero_Puck,114,326
5075,CDOTA_Unit_Hero_Pudge,189,276
5075,CDOTA_Unit_Hero_Abaddon,374,136
5075,CDOTA_Unit_Hero_Shredder,142,101
5075,CDOTA_Unit_Hero_VengefulSpirit,324,189
5075,CDOTA_Unit_Hero_Kunkka,154,245
5075,CDOTA_Unit_Hero_MonkeyKing,224,229
5080,CDOTA_Unit_Hero_KeeperOfTheLight,54,340
5080,CDOTA_Unit_Hero_Ursa,278,51
5080,CDOTA_Unit_Hero_Lion,229,171
5080,CDOTA_Unit_Hero_Puck,114,326
5080,CDOTA_Unit_Hero_Pudge,189,276
5080,CDOTA_Unit_Hero_Abaddon,385,173
5080,CDOTA_Unit_Hero_Shredder,141,187
5080,CDOTA_Unit_Hero_VengefulSpirit,324,189
5080,CDOTA_Unit_Hero_Kunkka,63,287
5080,CDOTA_Unit_Hero_MonkeyKing,280,238
5085,CDOTA_Unit_Hero_KeeperOfTheLight,53,345
5085,CDOTA_Unit_Hero_Ursa,278,51
5085,CDOTA_Unit_Hero_Lion,215,176
5085,CDOTA_Unit_Hero_Puck,114,326
5085,CDOTA_Unit_Hero_Pudge,189,276
5085,CDOTA_Unit_Hero_Abaddon,387,173
5085,CDOTA_Unit_Hero_Shredder,166,228
5085,CDOTA_Unit_Hero_VengefulSpirit,324,189
5085,CDOTA_Unit_Hero_Kunkka,37,333
5085,CDOTA_Unit_Hero_MonkeyKing,298,258
5090,CDOTA_Unit_Hero_KeeperOfTheLight,52,348
5090,CDOTA_Unit_Hero_Ursa,278,51
