Tick,Hero,Action
5026,CDOTA_Unit_Hero_NightStalker,M
5028,CDOTA_Unit_Hero_NightStalker,M
5032,CDOTA_Unit_Hero_Centaur,M
5032,CDOTA_Unit_Hero_NightStalker,M
5036,CDOTA_Unit_Hero_Centaur,M
5036,CDOTA_Unit_Hero_CrystalMaiden,M
5036,CDOTA_Unit_Hero_NightStalker,M
5044,CDOTA_Unit_Hero_Bloodseeker,M
5046,CDOTA_Unit_Hero_Bloodseeker,M
5050,CDOTA_Unit_Hero_Bloodseeker,M
5052,CDOTA_Unit_Hero_Bloodseeker,M
5052,CDOTA_Unit_Hero_NightStalker,M
5054,CDOTA_Unit_Hero_Bloodseeker,A
5054,CDOTA_Unit_Hero_Bloodseeker,M
5056,CDOTA_Unit_Hero_CrystalMaiden,M
5056,CDOTA_Unit_Hero_NightStalker,M
5058,CDOTA_Unit_Hero_CrystalMaiden,M
5058,CDOTA_Unit_Hero_Centaur,M
5060,CDOTA_Unit_Hero_Bloodseeker,A
5062,CDOTA_Unit_Hero_NightStalker,M
5064,CDOTA_Unit_Hero_Centaur,M
5064,CDOTA_Unit_Hero_CrystalMaiden,M
5064,CDOTA_Unit_Hero_CrystalMaiden,M
5066,CDOTA_Unit_Hero_Bloodseeker,M
5066,CDOTA_Unit_Hero_Bloodseeker,M
5066,CDOTA_Unit_Hero_NightStalker,M
5068,CDOTA_Unit_Hero_Centaur,M
5068,CDOTA_Unit_Hero_CrystalMaiden,M
5072,CDOTA_Unit_Hero_Centaur,M
5072,CDOTA_Unit_Hero_CrystalMaiden,M
5076,CDOTA_Unit_Hero_CrystalMaiden,M
5076,CDOTA_Unit_Hero_CrystalMaiden,M
5080,CDOTA_Unit_Hero_Bloodseeker,M
5080,CDOTA_Unit_Hero_Bloodseeker,M
5082,CDOTA_Unit_Hero_CrystalMaiden,M
5082,CDOTA_Unit_Hero_CrystalMaiden,M
5084,CDOTA_Unit_Hero_Bloodseeker,M
5088,CDOTA_Unit_Hero_Bloodseeker,M
5088,CDOTA_Unit_Hero_Bloodseeker,M
5092,CDOTA_Unit_Hero_NightStalker,M
5094,CDOTA_Unit_Hero_Bloodseeker,M
5094,CDOTA_Unit_Hero_Bloodseeker,M
5096,CDOTA_Unit_Hero_NightStalker,M
5100,CDOTA_Unit_Hero_Bloodseeker,M
5100,CDOTA_Unit_Hero_Bloodseeker,M
5102,CDOTA_Unit_Hero_CrystalMaiden,M
5102,CDOTA_Unit_Hero_CrystalMaiden,M
5102,CDOTA_Unit_Hero_NightStalker,M
5104,CDOTA_Unit_Hero_Bloodseeker,M
5108,CDOTA_Unit_Hero_Bloodseeker,M
5116,CDOTA_Unit_Hero_Centaur,M
5118,CDOTA_Unit_Hero_Bloodseeker,A
5118,CDOTA_Unit_Hero_NightStalker,M
5122,CDOTA_Unit_Hero_Centaur,M
5122,CDOTA_Unit_Hero_NightStalker,M
5124,CDOTA_Unit_Hero_Bloodseeker,A
5126,CDOTA_Unit_Hero_NightStalker,M
5128,CDOTA_Unit_Hero_Bloodseeker,M
5128,CDOTA_Unit_Hero_Bloodseeker,M
5132,CDOTA_Unit_Hero_Bloodseeker,M
5134,CDOTA_Unit_Hero_Bloodseeker,M
5136,CDOTA_Unit_Hero_Bloodseeker,M
5138,CDOTA_Unit_Hero_Morphling,M
5144,CDOTA_Unit_Hero_Morphling,M
5152,CDOTA_Unit_Hero_NightStalker,M
5158,CDOTA_Unit_Hero_NightStalker,M
5168,CDOTA_Unit_Hero_Bloodseeker,M
5168,CDOTA_Unit_Hero_Bloodseeker,M
5172,CDOTA_Unit_Hero_Bloodseeker,M
5176,CDOTA_Unit_Hero_Bloodseeker,A
5176,CDOTA_Unit_Hero_Bloodseeker,M
5176,CDOTA_Unit_Hero_NightStalker,M
5176,CDOTA_Unit_Hero_Bloodseeker,M
5180,CDOTA_Unit_Hero_NightStalker,M
5180,CDOTA_Unit_Hero_Bloodseeker,A
5184,CDOTA_Unit_Hero_NightStalker,M
5186,CDOTA_Unit_Hero_Bloodseeker,M
5188,CDOTA_Unit_Hero_Bloodseeker,M
5194,CDOTA_Unit_Hero_NightStalker,M
5200,CDOTA_Unit_Hero_NightStalker,M
5204,CDOTA_Unit_Hero_NightStalker,M
5208,CDOTA_Unit_Hero_Bloodseeker,A
5208,CDOTA_Unit_Hero_NightStalker,M
5212,CDOTA_Unit_Hero_Bloodseeker,A
5218,CDOTA_Unit_Hero_Bloodseeker,A
5222,CDOTA_Unit_Hero_Morphling,M
5226,CDOTA_Unit_Hero_Bloodseeker,A
5226,CDOTA_Unit_Hero_Morphling,M
5236,CDOTA_Unit_Hero_Bloodseeker,M
5236,CDOTA_Unit_Hero_Morphling,M
5236,CDOTA_Unit_Hero_Bloodseeker,M
5242,CDOTA_Unit_Hero_Luna,M
5242,CDOTA_Unit_Hero_Luna,M
5244,CDOTA_Unit_Hero_Morphling,M
5254,CDOTA_Unit_Hero_Pudge,M
5254,CDOTA_Unit_Hero_Morphling,M
5254,CDOTA_Unit_Hero_Pudge,M
5258,CDOTA_Unit_Hero_DragonKnight,M
5258,CDOTA_Unit_Hero_Pudge,M
5260,CDOTA_Unit_Hero_Morphling,M
5260,CDOTA_Unit_Hero_Pudge,M
5264,CDOTA_Unit_Hero_Pudge,M
5264,CDOTA_Unit_Hero_Pudge,M
5266,CDOTA_Unit_Hero_Morphling,M
5268,CDOTA_Unit_Hero_Pudge,M
5270,CDOTA_Unit_Hero_Pudge,M
5272,CDOTA_Unit_Hero_Morphling,M
5272,CDOTA_Unit_Hero_DragonKnight,M
5274,CDOTA_Unit_Hero_Pudge,M
5276,CDOTA_Unit_Hero_Pudge,M
5278,CDOTA_Unit_Hero_Morphling,M
5280,CDOTA_Unit_Hero_Abaddon,M
5282,CDOTA_Unit_Hero_Morphling,M
5282,CDOTA_Unit_Hero_DragonKnight,M
5286,CDOTA_Unit_Hero_Abaddon,M
5288,CDOTA_Unit_Hero_Morphling,M
5294,CDOTA_Unit_Hero_Morphling,M
5298,CDOTA_Unit_Hero_Morphling,M
5306,CDOTA_Unit_Hero_Morphling,M
5310,CDOTA_Unit_Hero_Morphling,M
5320,CDOTA_Unit_Hero_Morphling,M
5326,CDOTA_Unit_Hero_Morphling,M
5338,CDOTA_Unit_Hero_Abaddon,M
5346,CDOTA_Unit_Hero_Abaddon,M
5348,CDOTA_Unit_Hero_Morphling,M
5354,CDOTA_Unit_Hero_Morphling,M
5360,CDOTA_Unit_Hero_Morphling,M
5366,CDOTA_Unit_Hero_Abaddon,M
5366,CDOTA_Unit_Hero_Bloodseeker,M
5368,CDOTA_Unit_Hero_Bloodseeker,M
5372,CDOTA_Unit_Hero_Bloodseeker,M
5374,CDOTA_Unit_Hero_Bloodseeker,M
5378,CDOTA_Unit_Hero_Pudge,M
5378,CDOTA_Unit_Hero_Abaddon,M
5378,CDOTA_Unit_Hero_Pudge,M
5382,CDOTA_Unit_Hero_Pudge,M
5382,CDOTA_Unit_Hero_Bloodseeker,A
5384,CDOTA_Unit_Hero_Pudge,M
5388,CDOTA_Unit_Hero_Pudge,M
5388,CDOTA_Unit_Hero_Pudge,M
5390,CDOTA_Unit_Hero_Bloodseeker,A
5390,CDOTA_Unit_Hero_Abaddon,M
5394,CDOTA_Unit_Hero_Morphling,M
5398,CDOTA_Unit_Hero_Bloodseeker,M
5398,CDOTA_Unit_Hero_Bloodseeker,M
5400,CDOTA_Unit_Hero_Abaddon,M
5402,CDOTA_Unit_Hero_Bloodseeker,M
5408,CDOTA_Unit_Hero_Morphling,M
5408,CDOTA_Unit_Hero_Pudge,M
5408,CDOTA_Unit_Hero_Pudge,M
5410,CDOTA_Unit_Hero_CrystalMaiden,M
5410,CDOTA_Unit_Hero_CrystalMaiden,M
5412,CDOTA_Unit_Hero_Morphling,M
5412,CDOTA_Unit_Hero_Pudge,M
5414,CDOTA_Unit_Hero_Pudge,M
5414,CDOTA_Unit_Hero_Bloodseeker,A
5416,CDOTA_Unit_Hero_CrystalMaiden,M
5416,CDOTA_Unit_Hero_CrystalMaiden,M
5418,CDOTA_Unit_Hero_Morphling,M
5420,CDOTA_Unit_Hero_Pudge,M
5420,CDOTA_Unit_Hero_Bloodseeker,A
5420,CDOTA_Unit_Hero_Pudge,M
5424,CDOTA_Unit_Hero_Bloodseeker,M
5426,CDOTA_Unit_Hero_Pudge,M
5426,CDOTA_Unit_Hero_Pudge,M
5426,CDOTA_Unit_Hero_Bloodseeker,M
5438,CDOTA_Unit_Hero_Pudge,M
5438,CDOTA_Unit_Hero_Pudge,M
5442,CDOTA_Unit_Hero_Pudge,M
5444,CDOTA_Unit_Hero_CrystalMaiden,M
5444,CDOTA_Unit_Hero_Pudge,M
5444,CDOTA_Unit_Hero_CrystalMaiden,M
5486,CDOTA_Unit_Hero_Abaddon,M
5490,CDOTA_Unit_Hero_CrystalMaiden,M
5490,CDOTA_Unit_Hero_CrystalMaiden,M
5514,CDOTA_Unit_Hero_Pudge,M
5516,CDOTA_Unit_Hero_Pudge,M
5522,CDOTA_Unit_Hero_Pudge,M
5524,CDOTA_Unit_Hero_Pudge,M
5528,CDOTA_Unit_Hero_Pudge,M
5530,CDOTA_Unit_Hero_Pudge,M
5532,CDOTA_Unit_Hero_Abaddon,M
5552,CDOTA_Unit_Hero_CrystalMaiden,M
5552,CDOTA_Unit_Hero_Pudge,M
5554,CDOTA_Unit_Hero_CrystalMaiden,M
5554,CDOTA_Unit_Hero_Pudge,M
